Lines of Code (LOC),Cyclomatic Complexity (v(g)),Essential Complexity (ev(g)),Design Complexity (iv(g)),Halstead Length (n),Halstead Volume (v),Halstead Program Length (l),Halstead Difficulty (d),Halstead Intelligence (i),Halstead Effort (e),Halstead Delivered Bugs (b),Halstead Time Estimator (t),Lines of Executable Code,Lines of Comments,Lines of Blank Space,Lines of Code & Comments,Unique Operators,Unique Operands,Total Operators,Total Operands,Branch Count
15,2,1,1,20,80,0.15,5,15,400,0.02,22,10,2,3,0,8,6,12,8,2
450,45,20,35,1200,8500,0.02,60,120,510000,2.8,28333,380,40,30,5,35,80,700,500,80
85,12,5,8,250,1500,0.05,20,45,30000,0.5,1666,65,10,10,2,18,35,140,110,22
12,1,1,1,15,50,0.2,4,12,200,0.01,11,8,1,3,0,6,5,9,6,1
320,30,15,20,800,5500,0.03,45,90,247500,1.8,13750,260,35,25,4,28,60,480,320,55
55,6,3,4,120,650,0.08,12,35,7800,0.21,433,40,8,7,1,14,25,75,45,10
110,15,8,10,350,2200,0.04,25,60,55000,0.73,3055,85,15,10,3,22,45,200,150,28
25,3,1,2,45,200,0.12,8,22,1600,0.06,88,18,4,3,0,10,12,28,17,4
600,65,30,45,1800,14000,0.01,85,150,1190000,4.6,66111,510,60,30,8,45,110,1050,750,120
42,5,2,3,90,480,0.09,10,28,4800,0.16,266,32,5,5,1,12,20,55,35,8
180,22,12,15,500,3400,0.03,32,75,108800,1.13,6044,140,25,15,4,25,55,290,210,42
8,1,1,1,10,30,0.25,3,10,90,0.01,5,5,1,2,0,5,4,6,4,1
275,28,14,18,720,4800,0.03,40,85,192000,1.6,10666,220,30,25,4,26,58,420,300,52
95,10,4,6,280,1700,0.06,18,50,30600,0.56,1700,75,12,8,2,16,38,160,120,18
750,80,40,60,2500,20000,0.008,105,180,2100000,6.6,116666,640,80,30,10,55,140,1450,1050,155
